Metal;Analyte;Metal_Thickness_nm;Theta_res_deg;FWHM_deg;Sensitivity_Empirical_deg_per_RIU;Chi_Empirical;Q_Empirical;Sensitivity_Theoretical_deg_per_RIU;Chi_Theoretical;Q_Theoretical
Au;analyte_02;46;66.17002867927512;1.519999999999996;101.805672712563;66.97741625826531;43.53291360478638;101.97347181950524;67.0878104075694;43.53291360478638
Au;analyte_02;47;66.15528513559025;1.4399999999999977;101.82975710298359;70.71510909929427;45.94117023304886;101.97347181950524;70.81491098576764;45.94117023304886
Au;analyte_02;48;66.142053677872;1.3599999999999994;101.85546277316757;74.89372262732913;48.63386299843531;101.97347181950524;74.98049398493035;48.63386299843531
Au;analyte_02;49;66.13017414765159;1.2900000000000063;101.8798915097672;78.97666008509047;51.26370088965214;101.97347181950524;79.04920296085639;51.26370088965214
Au;analyte_02;50;66.11950160057924;1.230000000000004;101.90196454421876;82.84712564570604;53.75569235819433;101.97347181950524;82.9052616418739;53.75569235819433
Au;analyte_02;51;66.10990901991016;1.1699999999999875;101.92533939028073;87.11567469254857;56.50419574351356;101.97347181950524;87.15681352094558;56.50419574351356
Au;analyte_02;52;66.1012823612781;1.1199999999999903;101.949653171543;91.02647604602133;59.019002108284525;101.97347181950524;91.04774269598761;59.019002108284525
Au;analyte_02;53;66.09352280955528;1.0700000000000074;101.97198179483111;95.30091756526205;61.76964748556526;101.97347181950524;95.30231011168648;61.76964748556526
Au;analyte_02;54;66.08654000263459;1.0400000000000063;101.9927917611001;98.06999207798027;63.54475000253288;101.97347181950524;98.05141521106214;63.54475000253288
Au;analyte_02;55;66.08025244998396;0.9899999999999949;102.01325218731641;103.04368907809791;66.74772974745889;101.97347181950524;103.00350688838967;66.74772974745889
Cu;analyte_01;45;66.1471836982808;1.9899999999999949;100.96647246516854;;;;;
Cu;analyte_01;46;66.13315754240719;1.8900000000000006;100.99200318261333;;;;;
Cu;analyte_01;47;66.12060245439247;1.8200000000000074;101.01721810755569;;;;;
Cu;analyte_01;48;66.10936385242859;1.7399999999999949;101.04281645980653;;;;;
Cu;analyte_01;49;66.09930629787193;1.670000000000016;101.06980438637964;;;;;
Cu;analyte_01;50;66.09030143765196;1.6200000000000045;101.091152957646;;;;;
Cu;analyte_01;51;66.08224605639394;1.5600000000000023;101.11343258571814;;;;;
Cu;analyte_01;52;66.07504338981299;1.519999999999996;101.13630768154619;;;;;
Cu;analyte_01;53;66.06860557683952;1.4699999999999989;101.15806912246696;;;;;
Cu;analyte_01;54;66.06285363166023;1.4399999999999977;101.17742433559214;;;;;
Cu;analyte_01;55;66.05772619720011;1.4100000000000108;101.19997622654883;;;;;
Cu;analyte_02;45;66.03612057856913;1.9799999999999898;100.96647246516854;50.99316791170155;33.35157604978256;100.99580192604448;51.0079807707298;33.35157604978256
Cu;analyte_02;46;66.02206633890633;1.8900000000000006;100.99200318261333;53.434922318843014;34.93231023222556;100.99580192604448;53.436932236002356;34.93231023222556
Cu;analyte_02;47;66.00948351447417;1.7999999999999972;101.01721810755569;56.120676726419916;36.67193528581904;100.99580192604448;56.108778847802576;36.67193528581904
Cu;analyte_02;48;65.99821675432281;1.730000000000004;101.04281645980653;58.40625228890538;38.149258239492866;100.99580192604448;58.37907625782904;38.149258239492866
Cu;analyte_02;49;65.98812951304693;1.6599999999999966;101.06980438637964;60.88542432914449;39.751885248823534;100.99580192604448;60.84084453376186;39.751885248823534
Cu;analyte_02;50;65.97910116939856;1.6099999999999852;101.091152957646;62.78953599853847;40.98080817975104;100.99580192604448;62.7303117553077;40.98080817975104
Cu;analyte_02;51;65.97102128054966;1.5500000000000114;101.11343258571814;65.23447263594672;42.561949213257535;100.99580192604448;65.15858188777015;42.561949213257535
Cu;analyte_02;52;65.9637934513633;1.5;101.13630768154619;67.4242051210308;43.975862300908865;100.99580192604448;67.33053461736299;43.975862300908865
Cu;analyte_02;53;65.95733170080482;1.4599999999999937;101.15806912246696;69.28634871401876;45.17625458959253;100.99580192604448;69.1752067986609;45.17625458959253
Cu;analyte_02;54;65.9515584648911;1.4299999999999926;101.17742433559214;70.75344359132353;46.11997095446954;100.99580192604448;70.62643491331818;46.11997095446954
Cu;analyte_02;55;65.94640622335092;1.3999999999999915;101.19997622654883;72.28569730467818;47.10457587382237;100.99580192604448;72.13985851860363;47.10457587382237
